12.52-41.90,0,0
12.54-41.88,5,1
12.80-41.51,2,0
12.51-41.89,15,4
12.52-41.87,0,0
12.53-41.87,10,2
12.44-41.95,0,0
12.41-41.79,14,4
12.48-41.86,6,1
12.48-41.87,3,0
12.46-41.85,2,0
12.47-41.87,4,1
12.62-41.82,1,0
12.61-41.82,2,0
12.48-41.88,0,0
12.53-41.97,0,0
12.57-41.89,13,3
12.41-41.91,2,0
12.63-41.88,6,1
12.38-41.94,0,0
12.47-41.88,2,0
12.43-41.94,2,0
12.47-41.90,10,2
12.40-41.91,0,0
12.48-41.91,0,0
12.50-41.88,7,2
12.50-41.89,14,4
12.44-41.93,3,0
12.54-41.96,0,0
12.44-41.82,9,2
12.45-41.91,10,2
12.51-41.99,5,1
12.36-41.77,0,0
12.67-41.86,0,0
12.62-41.86,7,2
12.54-41.90,8,2
12.46-41.90,2,0
12.73-41.92,0,0
12.52-41.93,6,1
12.52-41.91,2,0
12.50-41.90,6,1
12.27-41.73,5,1
12.27-41.74,0,0
12.47-41.93,3,0
12.38-41.73,0,0
12.37-41.69,3,0
12.44-41.90,1,0
12.39-41.83,0,0
12.47-41.89,1,0
12.46-41.89,0,0
12.48-41.89,7,2
12.51-41.91,5,1
12.40-41.89,0,0
12.46-41.94,0,0
12.47-41.91,7,2
12.38-41.92,8,2
12.43-41.90,0,0
12.37-41.78,0,0
12.33-41.75,0,0
12.51-41.87,0,0
12.52-41.89,0,0
12.57-41.90,3,0
12.60-41.91,2,0
12.51-41.83,6,1
12.59-41.84,10,2
12.61-41.90,0,0
12.54-41.92,0,0
12.61-41.91,8,2
12.43-41.85,0,0
12.36-41.79,0,0
12.57-41.91,0,0
12.42-41.83,1,0
12.57-41.87,1,0
12.64-41.94,6,1
12.44-41.97,2,0
12.55-41.94,3,0
12.66-41.84,0,0
12.42-41.94,2,0
12.60-41.83,0,0
12.32-42.04,7,2
12.58-41.94,0,0
12.51-41.92,4,1
12.49-41.90,2,0
12.50-41.91,2,0
12.46-41.84,28,8
12.44-41.87,7,2
12.57-41.85,0,0
12.38-42.04,0,0
12.49-41.89,10,2
12.47-41.83,2,0
12.54-41.87,9,2
12.46-41.91,7,2
12.31-42.04,0,0
,7,2
12.54-41.89,0,0
12.56-41.89,1,0
12.48-41.85,0,0
12.39-41.89,1,0
12.41-41.89,1,0
12.48-41.94,7,2
12.59-41.86,0,0
12.68-41.89,0,0
12.66-41.87,0,0
12.67-41.92,3,0
12.65-41.86,3,0
12.55-41.88,5,1
12.58-41.88,2,0
12.55-41.91,0,0
12.45-41.85,2,0
12.38-41.79,1,0
12.57-41.86,4,1
12.58-41.83,0,0
12.29-41.73,0,0
12.42-41.93,4,1
12.51-41.88,10,2
12.52-41.95,0,0
12.48-41.90,1,0
12.53-41.96,3,0
12.52-41.94,3,0
12.48-41.93,1,0
12.67-41.85,0,0
12.50-41.87,0,0
12.51-41.93,4,1
12.53-41.95,0,0
12.47-41.95,0,0
12.46-41.87,0,0
12.39-41.91,0,0
12.43-41.81,8,2
12.44-41.86,3,0
12.49-41.88,11,3
12.49-41.86,0,0
12.49-41.85,5,1
12.48-41.82,0,0
12.47-41.86,1,0
12.68-41.86,3,0
12.65-41.87,2,0
12.68-41.90,4,1
12.45-41.96,0,0
12.56-41.95,0,0
12.54-41.94,0,0
12.44-41.92,0,0
12.44-41.94,13,3
12.43-41.93,0,0
12.42-41.92,0,0
12.53-41.93,0,0
12.38-41.95,2,0
12.46-41.92,35,10
12.37-41.73,0,0
12.35-41.75,0,0
12.28-41.74,0,0
12.33-41.76,2,0
12.44-41.80,0,0
12.44-41.78,3,0
12.60-41.88,0,0
12.69-41.91,2,0
12.43-41.80,0,0
12.68-41.85,4,1
12.42-41.98,0,0
12.49-41.95,5,1
12.47-41.92,8,2
12.38-41.77,0,0
12.46-41.95,1,0
12.58-41.81,10,2
12.62-41.84,0,0
12.57-41.84,0,0
12.50-41.85,0,0
12.34-41.78,3,0
12.28-41.73,4,1
12.43-41.84,0,0
12.55-41.85,0,0
12.56-41.91,7,2
12.52-41.83,3,0
12.53-41.86,0,0
12.38-41.84,0,0
12.46-41.86,6,1
12.62-41.94,5,1
12.38-42.01,0,0
12.56-41.86,3,0
12.47-41.85,10,2
12.49-41.91,7,2
12.45-41.87,2,0
12.61-41.92,0,0
12.55-41.89,7,2
12.50-41.76,0,0
12.48-41.92,3,0
12.50-41.92,4,1
12.54-41.95,0,0
12.61-41.85,2,0
12.69-41.88,0,0
12.62-41.89,18,5
12.53-41.92,2,0
12.45-41.79,31,8
12.45-41.88,3,0
12.59-41.89,0,0
12.41-41.92,2,0
12.57-41.96,13,3
12.53-41.88,0,0
12.52-41.84,0,0
12.47-41.94,6,1
12.40-41.78,0,0
12.42-41.87,0,0
12.56-41.90,10,2
12.40-41.98,0,0
12.30-41.90,6,1
12.42-41.95,0,0
12.46-41.82,5,1
12.36-42.09,0,0
12.45-41.73,0,0
12.49-41.83,1,0
12.34-42.07,0,0
12.63-41.86,0,0
12.67-41.88,7,2
12.43-41.97,0,0
12.54-41.91,0,0
12.60-41.93,3,0
12.56-41.83,6,1
12.54-41.93,0,0
12.41-41.82,0,0
12.55-41.86,3,0
12.60-41.85,0,0
12.52-41.96,0,0
12.49-41.87,2,0
12.43-41.92,2,0
12.56-41.88,5,1
12.57-41.88,4,1
12.34-41.85,0,0
12.45-41.92,2,0
12.45-41.93,2,0
12.58-41.89,0,0
12.44-41.81,0,0
12.41-41.96,0,0
12.39-41.92,0,0
10.34-43.47,0,0
12.59-41.91,0,0
12.53-41.81,14,4
12.59-41.85,1,0
12.41-41.85,4,1
12.67-41.87,0,0
12.37-41.75,3,0
12.62-41.87,0,0
12.35-41.73,2,0
