Str. di prima assegnazione;Anno;Data di presentazione;Tipo di segnalazione - codice;Tipo di segnalazione - descrizione;Area tematica - codice;Descrizione area tematica;Argomento - codice;Descrizione argomento;Tipo arrivo - codice;Descrizione tipo arrivo;Canale di risposta - codice;Descr. modalità di risposta;Punto esclamativo SI/NO;Municipio di riferimento (tramite geo-localizzazione)
POLIZIA LOCALE ROMA CAPITALE -  VII GRUPPO TUSCOLANO -(EX GRUPPO X);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;7
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;207;PARCHI, VILLE E GIARDINI - MANCATA PULIZIA;7;Portale;6;Web;NO;13
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;6;Segnalazione;1;AMBIENTE;78;DERATTIZZAZIONE;8;CRM 060606;5;Telefono;NO;n.a.
POLIZIA LOCALE ROMA CAPITALE -  VI GRUPPO TORRI -(EX GRUPPO VIII;2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;6
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;169;MANCATA POTATURA ALBERI;4;Telefono;5;Telefono;NO;5
POLIZIA LOCALE ROMA CAPITALE -  I GRUPPO PRATI  -(EX GRUPPO XVII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;183;MANUTENZIONE DELLA CITTÀ - PERICOLO PER L'INCOLUMITA PUBBLICA;7;Portale;6;Web;NO;1
MUNICIPIO ROMA X  (EX MUNICIPIO XIII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;169;MANCATA POTATURA ALBERI;8;CRM 060606;5;Telefono;NO;n.a.
POLIZIA LOCALE ROMA CAPITALE -  VIII GRUPPO TINTORETTO -(EX GRUPPO XI);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;380;SOSTA SU MARCIAPIEDE - GRAVE INTRALCIO;7;Portale;6;Web;NO;8
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;6;Segnalazione;1;AMBIENTE;78;DERATTIZZAZIONE;8;CRM 060606;5;Telefono;NO;n.a.
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;6;ALBERI PERICOLANTI;5;Email;4;Email;NO;5
MUNICIPIO ROMA XI (EX MUNICIPIO XV);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;172;MANCATA RACCOLTA RIFIUTI;5;Email;4;Email;NO;11
POLIZIA LOCALE ROMA CAPITALE -  I GRUPPO TREVI -(EX GRUPPO I);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;1
MUNICIPIO ROMA X  (EX MUNICIPIO XIII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;41;CAMPANA VETRO DANNEGGIATA/BRUCIATA/PIENA;7;Portale;6;Web;NO;10
MUNICIPIO ROMA X  (EX MUNICIPIO XIII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;182;MANUTENZIONE DELLA CITTÀ - MANCATO INTERVENTO;7;Portale;6;Web;NO;10
MUNICIPIO ROMA II  (EX MUNICIPI II E III);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;374;BUCHE E DISSESTO STRADALE;7;Portale;6;Web;NO;2
POLIZIA LOCALE ROMA CAPITALE -  VII GRUPPO APPIO -(EX GRUPPO IX);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;374;BUCHE E DISSESTO STRADALE;7;Portale;6;Web;NO;7
MUNICIPIO ROMA VI (EX MUNICIPIO VIII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;374;BUCHE E DISSESTO STRADALE;8;CRM 060606;5;Telefono;NO;n.a.
CORPO DI POLIZIA LOCALE DI ROMA CAPITALE;2020;01/04/2020;6;Segnalazione;10;MOBILITÀ E TRASPORTI;296;! SOSTA SELVAGGIA - RIMOZIONE VEICOLI IN INTRALCIO;7;Portale;6;Web;SI;n.a.
MUNICIPIO ROMA VIII (EX MUNICIPIO XI);2020;01/04/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;258;RIFIUTI ABBANDONATI;7;Portale;6;Web;NO;8
MUNICIPIO ROMA VIII (EX MUNICIPIO XI);2020;01/04/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;207;PARCHI, VILLE E GIARDINI - MANCATA PULIZIA;7;Portale;6;Web;NO;8
MUNICIPIO ROMA VIII (EX MUNICIPIO XI);2020;01/04/2020;6;Segnalazione;1;AMBIENTE;259;RIFIUTI ABBANDONATI - PERICOLO PER L'INCOLUMITA PUBBLICA;7;Portale;6;Web;NO;8
POLIZIA LOCALE ROMA CAPITALE -  XII GRUPPO MONTEVERDE -(EX GRUPPO XVI);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;12
POLIZIA LOCALE ROMA CAPITALE -  V GRUPPO PRENESTINO -(EX GRUPPO VI);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;5
POLIZIA LOCALE ROMA CAPITALE -  VI GRUPPO TORRI -(EX GRUPPO VIII;2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;6
POLIZIA LOCALE ROMA CAPITALE -  VI GRUPPO TORRI -(EX GRUPPO VIII;2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;374;BUCHE E DISSESTO STRADALE;7;Portale;6;Web;NO;6
MUNICIPIO ROMA I (EX MUNICIPI I E XVII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;374;BUCHE E DISSESTO STRADALE;8;CRM 060606;5;Telefono;NO;n.a.
MUNICIPIO ROMA II  (EX MUNICIPI II E III);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;216;PERDITE DI ACQUA - ALLAGAMENTI;7;Portale;6;Web;NO;2
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;169;MANCATA POTATURA ALBERI;7;Portale;6;Web;NO;2
MUNICIPIO ROMA XII  (EX MUNICIPIOXVI);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;47;CASSONETTO CARTA PIENO/RIBALTATO/DANNEGGIATO;7;Portale;6;Web;NO;12
POLIZIA LOCALE ROMA CAPITALE -  IX GRUPPO EUR -(EX GRUPPO XII);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;9
POLIZIA LOCALE ROMA CAPITALE -  V GRUPPO PRENESTINO -(EX GRUPPO VI);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;5
POLIZIA LOCALE ROMA CAPITALE -  III GRUPPO NOMENTANO -(EX GRUPPO IV);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;3
POLIZIA LOCALE ROMA CAPITALE -  III GRUPPO NOMENTANO -(EX GRUPPO IV);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;3
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;6;Segnalazione;1;AMBIENTE;78;DERATTIZZAZIONE;8;CRM 060606;5;Telefono;NO;n.a.
POLIZIA LOCALE ROMA CAPITALE -  II GRUPPO SAPIENZA -(EX GRUPPO III);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;2
DIPARTIMENTO COMUNICAZIONE;2020;01/04/2020;1;Reclamo;15;SOCIALE;108;DIFFICOLTÀ DI ACCESSO ALLA DOCUMENTAZIONE SOCIALE;7;Portale;6;Web;NO;n.a.
POLIZIA LOCALE ROMA CAPITALE -  X GRUPPO MARE -(EX GRUPPO XIII);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;10
DIPARTIMENTO POLITICHE SOCIALI, SUSSIDIARIETA' E SALUTE;2020;01/04/2020;1;Reclamo;15;SOCIALE;91;DIFFICOLTÀ DI ACCESSO AI SERVIZI ON LINE SOCIALI;7;Portale;6;Web;NO;n.a.
POLIZIA LOCALE ROMA CAPITALE -  VI GRUPPO TORRI -(EX GRUPPO VIII;2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;6
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;6;Segnalazione;1;AMBIENTE;78;DERATTIZZAZIONE;5;Email;4;Email;NO;1
MUNICIPIO ROMA V (EX MUNICIPI VI E VII);2020;01/04/2020;1;Reclamo;11;OPERE E MANUTENZIONE DELLA CITTÀ;258;RIFIUTI ABBANDONATI;7;Portale;6;Web;NO;5
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;207;PARCHI, VILLE E GIARDINI - MANCATA PULIZIA;5;Email;4;Email;NO;11
POLIZIA LOCALE ROMA CAPITALE -  XIII GRUPPO AURELIO -(EX GRUPPO XVIII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;50;CASSONETTO SCARTI ORGANICI PIENO/RIBALTATO/DANNEGGIATO;7;Portale;6;Web;NO;14
DIPARTIMENTO TUTELA AMBIENTALE - PROTEZIONE CIVILE;2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;305;SPAZZAMENTO SU MARCIAPIEDE;5;Email;4;Email;NO;11
MUNICIPIO ROMA VII  (EX MUNICIPI IX E X);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;287;SICUREZZA E PROTEZIONE CIVILE - ATTI DI VANDALISMO;8;CRM 060606;5;Telefono;NO;n.a.
MUNICIPIO ROMA XII  (EX MUNICIPIOXVI);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;37;CADITOIE/TOMBINI - FUORIUSCITA ACQUA/LIQUAMI;7;Portale;6;Web;NO;12
MUNICIPIO ROMA V (EX MUNICIPI VI E VII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;50;CASSONETTO SCARTI ORGANICI PIENO/RIBALTATO/DANNEGGIATO;7;Portale;6;Web;NO;5
MUNICIPIO ROMA XII  (EX MUNICIPIOXVI);2020;01/04/2020;1;Reclamo;1;AMBIENTE;250;RACCOLTA PORTA A PORTA - MANCATO RISPETTO CALENDARIO;7;Portale;6;Web;NO;12
MUNICIPIO ROMA X  (EX MUNICIPIO XIII);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;378;MARCIAPIEDI - PRESENZA BUCHE O FESSURE;8;CRM 060606;5;Telefono;NO;n.a.
POLIZIA LOCALE ROMA CAPITALE -  XV GRUPPO CASSIA -(EX GRUPPO XX);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;15
SEGRETARIATO  GENERALE - DIREZIONE ANAGRAFE;2020;01/04/2020;6;Segnalazione;9;INNOVAZIONE E SMART CITY;85;DIFFICOLTÀ DI ACCESSO AI SERVIZI ON LINE;8;CRM 060606;5;Telefono;NO;n.a.
POLIZIA LOCALE ROMA CAPITALE -  XII GRUPPO MONTEVERDE -(EX GRUPPO XVI);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;12
MUNICIPIO ROMA XII  (EX MUNICIPIOXVI);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;48;CASSONETTO INDIFFERENZIATO PIENO/RIBALTATO/DANNEGGIATO;7;Portale;6;Web;NO;12
POLIZIA LOCALE ROMA CAPITALE -  III GRUPPO NOMENTANO -(EX GRUPPO IV);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;3
POLIZIA LOCALE ROMA CAPITALE -  I GRUPPO TREVI -(EX GRUPPO I);2020;01/04/2020;6;Segnalazione;4;COMMERCIO IMPRESA;369;BED AND BREAKFAST ABUSIVI;7;Portale;6;Web;NO;1
POLIZIA LOCALE ROMA CAPITALE -  X GRUPPO MARE -(EX GRUPPO XIII);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;10
POLIZIA LOCALE ROMA CAPITALE -  XIII GRUPPO AURELIO -(EX GRUPPO XVIII);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;13
POLIZIA LOCALE ROMA CAPITALE -  III GRUPPO NOMENTANO -(EX GRUPPO IV);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;3
POLIZIA LOCALE ROMA CAPITALE -  XIV GRUPPO MONTEMARIO -(EX GRUPPO XIX);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;14
MUNICIPIO ROMA X  (EX MUNICIPIO XIII);2020;01/04/2020;6;Segnalazione;1;AMBIENTE;259;RIFIUTI ABBANDONATI - PERICOLO PER L'INCOLUMITA PUBBLICA;7;Portale;6;Web;NO;10
POLIZIA LOCALE ROMA CAPITALE -  XIII GRUPPO AURELIO -(EX GRUPPO XVIII);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;13
POLIZIA LOCALE ROMA CAPITALE -  X GRUPPO MARE -(EX GRUPPO XIII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;375;VEICOLO ABBANDONATO;7;Portale;6;Web;NO;10
POLIZIA LOCALE ROMA CAPITALE -  X GRUPPO MARE -(EX GRUPPO XIII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;375;VEICOLO ABBANDONATO;7;Portale;6;Web;NO;10
MUNICIPIO ROMA IX (EX MUNICIPIO XII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;48;CASSONETTO INDIFFERENZIATO PIENO/RIBALTATO/DANNEGGIATO;7;Portale;6;Web;NO;9
MUNICIPIO ROMA VI (EX MUNICIPIO VIII);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;374;BUCHE E DISSESTO STRADALE;8;CRM 060606;5;Telefono;NO;n.a.
DIPARTIMENTO PROGRAMMAZIONE ED ATTUAZIONE URBANISTICA - DIREZIONE ATTUAZIONE DEGLI STRUMENTI URBANISTICI;2020;01/04/2020;1;Reclamo;3;CASA E URBANISTICA;94;DIFFICOLTÀ DI ACCESSO AI SERVIZI ON LINE URBANISTICI;7;Portale;6;Web;NO;n.a.
POLIZIA LOCALE ROMA CAPITALE -  VII GRUPPO TUSCOLANO -(EX GRUPPO X);2020;01/04/2020;1;Reclamo;14;SICUREZZA URBANA E PROTEZIONE CIVILE;173;MANCATA RIMOZIONE VEICOLI IN INTRALCIO;7;Portale;6;Web;NO;7
POLIZIA LOCALE ROMA CAPITALE -  XIV GRUPPO MONTEMARIO -(EX GRUPPO XIX);2020;01/04/2020;6;Segnalazione;14;SICUREZZA URBANA E PROTEZIONE CIVILE;383;ASSEMBRAMENTI;7;Portale;6;Web;NO;14
POLIZIA LOCALE ROMA CAPITALE -  XIV GRUPPO MONTEMARIO -(EX GRUPPO XIX);2020;01/04/2020;6;Segnalazione;11;OPERE E MANUTENZIONE DELLA CITTÀ;374;BUCHE E DISSESTO STRADALE;7;Portale;6;Web;NO;14
