INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;latitude;longitude
CAPPELLARI29;Categoria 2;VIA DEI CAPPELLARI, 29;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;0;0;0;0;1;1;41.89617;12.47079
CASA VACANZE SEMINARIO -;Categoria 2;VIA DEL SEMINARIO, 85;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0;41.89901;12.4778
"" NERONE"" degli Eredi Patrizi Gino srl";Categoria 3;VIA DEL TRITONE, 82;Municipio I (ex Mun I);Guest House o Affittacamere;2;4;0;0;0;0;0;0;41.90308;12.48615
""" TRASTEVERE ROYAL SUITE TRILUSSA"" GUEST HOUSE O AFFITTACAMERE";Categoria 3;LUNGOTEVERE RAFFAELLO SANZIO, 1;Municipio I (ex Mun I);Guest House o Affittacamere;0;5;0;0;0;0;0;0;41.89167;12.47039
"""9-NINE'S GUEST HOUSE""";Categoria 3;VIA MARGHERA, 49;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.90344;12.50512
"""AMEDEO""CASA E APPARTAMENTO PER VACANZE";Categoria 2;VIA PRINCIPE AMEDEO, 148;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.89674;12.50394
"""BED & BREAKFAST"" DREAMS ROMA B&B";Unica;VIA MERULANA, 48;Municipio I (ex Mun I);Bed & Breakfast imprenditoriale;0;0;2;0;0;0;0;0;41.89439;12.50074
"""BESPOKE ¨ LUXURY SUITE & APARTMENTS ¨ ROMA"" GUEST HOUSE O AFFITTACAMERE";Categoria 3;VIA TORINO, 29;Municipio I (ex Mun I);Guest House o Affittacamere;0;5;1;0;0;0;0;0;41.90223;12.49501
"""BIBI'S HOUSE"" CASA E APPARTAMENTO PER VACANZE";Categoria 2;VIA MASTRO GIORGIO, 22;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0;41.8789;12.47696
"""BORROMEO""";3 Stelle;VIA CAVOUR, 117;Municipio I (ex Mun I);Albergo;8;18;5;0;1;0;0;0;41.89689;12.49531
