CIU;INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;SITOWEB;EMAIL;TELEFONO;FAX;CELLULARE;CONTATTOFACEBOOK;CONTATTOTWITTER;CONTATTOINSTAGRAM;CONTATTOALTROSOCIAL
ALB-000002-2;BARCELO' ARAN PARK HOTEL;4 Stelle;VIA RICCARDO FORSTER, 24;Municipio IX (ex Mun XII);Albergo;0,00;201,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000003-3;PRIMAVERA;2 Stelle;PIAZZA DI S. PANTALEO, 3;Municipio I (ex Mun I);Albergo;2,00;8,00;5,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000004-4;CONTILIA;3 Stelle;VIA PRINCIPE AMEDEO, 79;Municipio I (ex Mun I);Albergo;7,00;37,00;17,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000009-9;MADRID;3 Stelle;VIA MARIO DE FIORI, 93;Municipio I (ex Mun I);Albergo;0,00;7,00;11,00;8,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000015-6;FENIX;4 Stelle;VIALE GORIZIA, 5;Municipio II (ex Mun II);Albergo;12,00;48,00;12,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000019-1;DESIDERIO;3 Stelle;VIA DELLA PINETA SACCHETTI, 225;Municipio XIV (ex Mun XIX);Albergo;0,00;23,00;0,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000020-2;MAJOR AVENTINUS;1 Stella;VIA DI S. ANSELMO, 10;Municipio I (ex Mun I);Albergo;19,00;8,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000022-4;VILLA GLORI;4 Stelle;VIA BERNARDO CELENTANO, 11;Municipio II (ex Mun II);Albergo;14,00;36,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000024-6;CASTELLO DELLA CASTELLUCCIA;4 Stelle;VIA CARLO CAVINA, ;Municipio XIV (ex Mun XIX);Albergo;2,00;13,00;8,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000031-4;IBIZA;2 Stelle;VIA FORLI', 14;Municipio II (ex Mun III);Albergo;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000035-8;ALEXANDRA;3 Stelle;VIA VITTORIO VENETO, 18;Municipio I (ex Mun I);Albergo;15,00;30,00;11,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000037-1;ARA PACIS;3 Stelle;VIA VITTORIA COLONNA, 11;Municipio I (ex Mun XVII);Albergo;15,00;12,00;8,00;2,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000039-3;BUENOS AIRES;3 Stelle;VIA CLITUNNO, 9;Municipio II (ex Mun II);Albergo;12,00;38,00;3,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000042-6;DIPLOMATIC;3 Stelle;VIA VITTORIA COLONNA, 28;Municipio I (ex Mun XVII);Albergo;4,00;29,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000046-1;GLOBUS;3 Stelle;VIALE IPPOCRATE, 119;Municipio II (ex Mun III);Albergo;8,00;56,00;25,00;19,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000047-2;MARGHERA;3 Stelle;VIA MARGHERA, 29;Municipio I (ex Mun I);Albergo;3,00;14,00;5,00;3,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000049-4;NEW YORK;1 Stella;VIA MAGENTA, 13;Municipio I (ex Mun I);Albergo;6,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000055-1;ABERDEEN;2 Stelle;VIA FIRENZE, 48;Municipio I (ex Mun I);Albergo;10,00;22,00;5,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000061-7;ADRIANO;3 Stelle;VIA DI PALLACORDA, 2;Municipio I (ex Mun I);Albergo;6,00;51,00;9,00;14,00;0,00;0,00;0,00;0,00;;;;;;;;;
