block_ID,administrative_subdivision,Year,Month,accidents,hotels,wifi,lighting_claims
9269,2.0,2019,1,0.0,,,
9269,2.0,2019,2,0.0,,,
9269,2.0,2019,3,0.0,,,
9269,2.0,2019,4,0.0,,,
9269,2.0,2019,6,0.0,,,
9269,2.0,2019,7,0.0,,,
9269,2.0,2019,8,0.0,,,
9269,2.0,2019,9,0.0,,,
9269,2.0,2019,11,0.0,,,
9269,2.0,2020,1,0.0,,,8.75
9269,2.0,2020,2,0.0,,,1.875
10140,5.0,2019,1,0.0,,,
10140,5.0,2019,2,0.0,,,
10140,5.0,2019,3,0.0,,,
10140,5.0,2019,4,0.0,,,
10140,5.0,2019,5,0.0,,,
10140,5.0,2019,7,0.0,,,
10140,5.0,2019,8,0.0,,,
10140,5.0,2019,9,0.0,,,
10140,5.0,2019,10,0.0,0.07105116587135524,,
10140,5.0,2019,11,0.0,,,
10140,5.0,2020,1,0.0,,,7.8125
-1,0.0,2019,1,0.0,,,
-1,0.0,2019,2,2.0,,,
-1,0.0,2019,3,0.0,,,
-1,0.0,2019,4,0.0,,,
-1,0.0,2019,5,0.0,,,
-1,0.0,2019,6,1.0,,,
-1,0.0,-1,-1,0.0,,,
-1,0.0,2019,7,0.0,,,
-1,0.0,2019,8,0.0,,,
-1,0.0,2019,9,0.0,,,
-1,0.0,2019,10,3.0,1.4315605666029412,,
-1,0.0,2019,11,4.0,,,
-1,0.0,2019,12,0.0,,,
-1,0.0,2020,1,2.0,,,
-1,0.0,2020,2,0.0,,,
8974,7.0,2019,1,0.0,,,
8974,7.0,2019,2,3.0,,,
8974,7.0,2019,3,0.0,,,
8974,7.0,2019,4,0.0,,,
8974,7.0,2019,5,0.0,,,
8974,7.0,2019,6,0.0,,,
8974,7.0,2019,7,0.0,,,
8974,7.0,2019,8,0.0,,,
8974,7.0,2019,9,0.0,,,
8974,7.0,2019,10,0.0,0.4056840932697084,,
8974,7.0,2019,11,0.0,,,
8974,7.0,2019,12,0.0,,,
8974,7.0,2020,1,0.0,,,4.0625
8974,7.0,2020,2,0.0,,,2.8125
9262,7.0,2019,1,0.0,,,
9262,7.0,2019,2,0.0,,,
9262,7.0,2019,3,0.0,,,
9262,7.0,2019,4,0.0,,,
9262,7.0,2019,5,0.0,,,
9262,7.0,2019,6,0.0,,,
9262,7.0,2019,7,0.0,,,
9262,7.0,2019,9,0.0,,,
9262,7.0,2019,10,0.0,0.08128735078502508,,
9262,7.0,2019,11,0.0,,,
9262,7.0,2019,12,0.0,,,
9262,7.0,2020,1,0.0,,,4.0625
9262,7.0,2020,2,0.0,,,2.8125
9699,7.0,2019,1,0.0,,,
9699,7.0,2019,2,5.0,,,
9699,7.0,2019,3,0.0,,,
9699,7.0,2019,4,0.0,,,
9699,7.0,2019,5,0.0,,,
9699,7.0,2019,6,0.0,,,
9699,7.0,2019,7,0.0,,,
9699,7.0,2019,8,0.0,,,
9699,7.0,2019,9,0.0,,,
9699,7.0,2019,10,0.0,0.07376074423085607,,
9699,7.0,2019,11,0.0,,,
9699,7.0,2019,12,0.0,,,
9699,7.0,2020,1,0.0,,,4.0625
9699,7.0,2020,2,0.0,,,2.8125
6656,15.0,2019,1,0.0,,,
6656,15.0,2019,2,0.0,,,
6656,15.0,2019,4,0.0,,,
6656,15.0,2019,5,0.0,,,
6656,15.0,2019,11,0.0,,,
6656,15.0,2019,12,0.0,,,
5732,9.0,2019,1,3.0,,,
5732,9.0,2019,2,3.0,,,
5732,9.0,2019,3,6.0,,,
5732,9.0,2019,4,0.0,,,
5732,9.0,2019,9,0.0,,,
5732,9.0,2019,11,2.0,,,
7946,8.0,2019,1,0.0,,,
7946,8.0,2019,2,0.0,,,
7946,8.0,2019,3,0.0,,,
7946,8.0,2019,4,6.0,,,
7946,8.0,2019,5,0.0,,,
7946,8.0,2019,6,0.0,,,
7946,8.0,2019,9,0.0,,,
7946,8.0,2019,10,0.0,0.03131068326534299,,
7946,8.0,2019,11,0.0,,,
7946,8.0,2019,12,0.0,,,
7946,8.0,2020,1,0.0,,,4.0625
7949,8.0,2019,1,0.0,,,
7949,8.0,2019,2,0.0,,,
7949,8.0,2019,3,0.0,,,
7949,8.0,2019,4,0.0,,,
7949,8.0,2019,5,0.0,,,
